Initial computer time: 1556738438.521688938
Initial NTP time:      1556738438.453789234
NTP offset:            1556738438.453789234
##DATA##
timeStamp secondary_task_status
1556738469.545516014 True
1556738499.578644991 False
1556738529.607492924 True
1556738559.635864973 False
1556738589.667257071 True
1556738619.695969105 False
1556738649.525902987 True
1556738679.557692051 False
1556738709.589561939 True
1556738739.619836092 False
1556738769.649825096 True
1556738799.679251909 False
1556738829.709587097 True
1556738859.539865971 False
1556738889.568347931 True
1556738919.600828886 False
1556738949.628727913 True
1556738979.660686016 False
1556739009.703733921 True
1556739039.530869007 False
1556739069.559129953 True
1556739099.586798906 False
1556739129.615730047 True
