Initial computer time: 1556669763.150670052
Initial NTP time:      1556669763.096077442
NTP offset:            1556669763.096077442
##DATA##
timeStamp secondary_task_status
1556669768.571913958 True
1556669773.577744007 False
1556669778.583470106 True
1556669783.589226007 False
1556669788.595060110 True
1556669793.600442886 False
1556669798.606348991 True
1556669803.611953020 False
1556669808.617513895 True
1556669813.623162985 False
1556669818.628813982 True
1556669823.634361029 False
1556669828.640059948 True
1556669833.645659924 False
1556669838.651536942 True
1556669843.657469988 False
1556669848.663522005 True
1556669853.669492006 False
1556669858.675260067 True
1556669863.680922985 False
1556669868.686738968 True
1556669873.692387104 False
1556669878.698278904 True
1556669883.704200983 False
1556669888.710197926 True
1556669893.716206074 False
1556669898.721988916 True
1556669903.727901936 False
1556669908.733575106 True
1556669913.739542961 False
1556669918.745656013 True
1556669923.751811028 False
1556669928.758012056 True
1556669933.764421940 False
1556669938.571959019 True
1556669943.577914953 False
1556669948.583939075 True
1556669953.590035915 False
1556669958.595731974 True
1556669963.601269960 False
1556669968.607033968 True
1556669973.612674952 False
1556669978.618557930 True
1556669983.624140024 False
1556669988.629576921 True
1556669993.635313988 False
1556669998.640923977 True
1556670003.646790981 False
1556670008.652417898 True
1556670013.657968998 False
1556670018.663573027 True
1556670023.669346094 False
1556670028.675251007 True
1556670033.681082964 False
1556670038.686814070 True
1556670043.692863941 False
1556670048.699253082 True
1556670053.705143929 False
1556670058.711093903 True
1556670063.716681957 False
1556670068.722764015 True
1556670073.729008913 False
1556670078.746825933 True
