Initial computer time: 1556731167.312911987
Initial NTP time:      1556731167.084671021
NTP offset:            1556731167.084671021
##DATA##
timeStamp secondary_task_status
1556731188.233952999 True
1556731208.261285067 False
1556731228.281065941 True
1556731248.302145958 False
1556731268.326459885 True
1556731288.371238947 False
1556731308.394696951 True
1556731328.226932049 False
1556731348.248199940 True
1556731368.272211075 False
1556731388.292356968 True
1556731408.313164949 False
1556731428.342957020 True
1556731448.376463890 False
1556731468.202941895 True
1556731488.225205898 False
1556731508.245666981 True
1556731528.267657042 False
1556731548.290760994 True
