Initial computer time: 1556727368.422050953
Initial NTP time:      1556727368.336217403
NTP offset:            1556727368.336217403
##DATA##
timeStamp secondary_task_status
1556727374.090847015 True
1556727379.095582962 False
1556727384.099903107 True
1556727389.104192972 False
1556727394.108645916 True
1556727399.112924099 False
1556727404.117230892 True
1556727409.121942997 False
1556727414.126362085 True
1556727419.131544113 False
1556727424.135498047 True
1556727429.139517069 False
1556727434.144020081 True
1556727439.148001909 False
1556727444.152611971 True
1556727449.157744884 False
1556727454.162719011 True
1556727459.169759035 False
1556727464.174241066 True
1556727469.178337097 False
1556727474.182703972 True
1556727479.186678886 False
1556727484.191325903 True
1556727489.195833921 False
1556727494.203356981 True
1556727499.208455086 False
1556727504.212465048 True
1556727509.216661930 False
1556727514.221508980 True
1556727519.225302935 False
1556727524.230357885 True
1556727529.234639883 False
1556727534.243949890 True
1556727539.248964071 False
1556727544.252505064 True
1556727549.256850004 False
1556727554.261182070 True
1556727559.265676975 False
1556727564.269659042 True
1556727569.274947882 False
1556727574.279897928 True
1556727579.084793091 False
