Initial computer time: 1556829391.919404984
Initial NTP time:      1556829391.860331059
NTP offset:            1556829391.860331059
##DATA##
timeStamp secondary_task_status
1556829433.609988928 True
1556829473.715382099 False
1556829513.557032108 True
1556829553.601655960 False
1556829593.644435883 True
1556829633.685926914 False
1556829673.725879908 True
1556829713.567126989 False
1556829753.609757900 True
1556829793.649379969 False
1556829833.690452099 True
1556829873.733738899 False
1556829913.576158047 True
1556829953.615798950 False
1556829993.654248953 True
1556830033.697501898 False
1556830073.738121033 True
1556830113.578651905 False
1556830153.617322922 True
1556830193.660509109 False
1556830233.699014902 True
1556830273.738286018 False
1556830313.579968929 True
1556830353.619287968 False
1556830393.657318115 True
1556830433.697861910 False
1556830473.737421989 True
1556830513.578277111 False
1556830553.620290995 True
1556830593.659463882 False
1556830633.699518919 True
1556830673.739238024 False
1556830713.580877066 True
1556830753.620384932 False
1556830793.662189960 True
1556830833.703617096 False
1556830873.742041111 True
1556830913.580450058 False
1556830953.620641947 True
1556830993.662626982 False
1556831033.704468012 True
1556831073.754875898 False
