Initial computer time: 1556728657.240402937
Initial NTP time:      1556728657.161549568
NTP offset:            1556728657.161549568
##DATA##
timeStamp secondary_task_status
1556728668.768513918 True
1556728678.785432100 False
1556728688.793867111 True
1556728698.802767038 False
1556728708.816242933 True
1556728718.826193094 False
1556728728.835529089 True
1556728738.850709915 False
1556728748.862927914 True
1556728758.871347904 False
1556728768.883604050 True
1556728778.901144028 False
1556728788.910207033 True
1556728798.920954943 False
1556728808.931919098 True
1556728818.942858934 False
1556728828.951829910 True
