Initial computer time: 1556668883.939465046
Initial NTP time:      1556668883.884091377
NTP offset:            1556668883.884091377
##DATA##
timeStamp secondary_task_status
1556668889.987329960 True
1556668894.993102074 False
1556668899.999109030 True
1556668905.004923105 False
1556668910.010961056 True
1556668915.016889095 False
1556668920.022809982 True
1556668925.028611898 False
1556668930.034113884 True
1556668935.041002989 False
1556668940.047188997 True
1556668945.053985119 False
1556668950.060228109 True
1556668955.066746950 False
1556668960.072597027 True
1556668965.077915907 False
1556668970.083928108 True
1556668975.089983940 False
1556668980.095947981 True
1556668985.101721048 False
1556668990.107381105 True
1556668995.113198996 False
1556669000.119147062 True
1556669005.124907017 False
1556669010.130650997 True
1556669015.136950970 False
1556669020.143237114 True
1556669025.149393082 False
1556669030.155364990 True
1556669035.161537886 False
1556669040.167467117 True
1556669045.173537016 False
1556669050.179811001 True
1556669054.985501051 False
1556669059.992387056 True
1556669064.998337030 False
1556669070.004710913 True
1556669075.010607004 False
1556669080.016537905 True
1556669085.022491932 False
1556669090.028398991 True
1556669095.034370899 False
1556669100.040404081 True
1556669105.046410084 False
1556669110.052496910 True
1556669115.058420897 False
1556669120.065295935 True
1556669125.071608067 False
1556669130.078352928 True
1556669135.084244967 False
1556669140.090533018 True
1556669145.096421003 False
1556669150.102032900 True
1556669155.107795954 False
1556669160.113782883 True
1556669165.119501114 False
1556669170.125293016 True
1556669175.131525993 False
1556669180.137798071 True
1556669185.144057989 False
1556669190.150850058 True
1556669195.156826019 False
1556669200.162440062 True
1556669205.168215036 False
1556669210.173583031 True
1556669215.179889917 False
1556669219.985645056 True
1556669224.991452932 False
1556669229.997459888 True
1556669235.003566980 False
1556669240.009318113 True
1556669245.014882088 False
1556669250.020495892 True
1556669255.026456118 False
1556669260.032344103 True
1556669265.037980080 False
1556669270.043628931 True
1556669275.049026966 False
1556669280.054711103 True
1556669285.060344934 False
1556669290.066108942 True
1556669295.071969032 False
1556669300.078011036 True
1556669305.083904982 False
1556669310.089956999 True
1556669315.095863104 False
1556669320.102106094 True
1556669325.108181000 False
1556669330.114636898 True
1556669335.120834112 False
1556669340.126643896 True
1556669345.132329941 False
1556669350.138845921 True
1556669355.144416094 False
1556669360.150434017 True
1556669365.156605005 False
1556669370.163111925 True
1556669375.169506073 False
1556669380.175457954 True
1556669385.181312084 False
1556669389.987106085 True
1556669394.992588043 False
1556669399.998081923 True
1556669405.003706932 False
1556669410.010071993 True
1556669415.015486002 False
1556669420.021400928 True
1556669425.027298927 False
1556669430.032809973 True
1556669435.038386106 False
1556669440.044188976 True
1556669445.050009966 False
1556669450.055633068 True
1556669455.061304092 False
1556669460.067074060 True
1556669465.073084116 False
1556669470.079051018 True
1556669475.085125923 False
1556669480.091124058 True
1556669485.096903086 False
1556669490.102401972 True
1556669495.107955933 False
1556669500.113981962 True
1556669505.119957924 False
1556669510.125545979 True
1556669515.131237030 False
1556669520.137118101 True
1556669525.143764019 False
1556669530.150263071 True
1556669535.157090902 False
1556669540.163747072 True
1556669545.169864893 False
1556669550.175729036 True
1556669554.982156992 False
1556669559.988451958 True
1556669564.994709015 False
1556669570.000711918 True
1556669575.006608009 False
1556669580.012450933 True
1556669585.018433094 False
1556669590.023914099 True
1556669595.029920101 False
1556669600.035717964 True
1556669605.041301012 False
1556669610.046947002 True
1556669615.052692890 False
1556669620.058659077 True
1556669625.064409971 False
1556669630.070370913 True
1556669635.076217890 False
1556669640.082357883 True
