Initial computer time: 1556831127.708226919
Initial NTP time:      1556831127.640307426
NTP offset:            1556831127.640307426
##DATA##
timeStamp secondary_task_status
1556831138.689467907 True
1556831148.702953100 False
1556831158.715414047 True
1556831168.735057116 False
1556831178.746689081 True
1556831188.758399963 False
1556831198.767800093 True
1556831208.778238058 False
1556831218.788306952 True
1556831228.798506021 False
1556831238.808363914 True
1556831248.819293976 False
1556831258.829327106 True
1556831268.839570045 False
1556831278.850219011 True
1556831288.861413002 False
1556831298.870881081 True
1556831308.680819035 False
1556831318.690721035 True
1556831328.700351954 False
1556831338.712392092 True
1556831348.722635984 False
1556831358.732258081 True
1556831368.742129087 False
1556831378.753334045 True
1556831388.764353037 False
1556831398.773117065 True
1556831408.783765078 False
1556831418.794794083 True
1556831428.807694912 False
1556831438.818588972 True
1556831448.831351042 False
1556831458.845058918 True
1556831468.858264923 False
1556831478.868808031 True
1556831488.678940058 False
1556831498.690473080 True
1556831508.700139046 False
1556831518.711170912 True
1556831528.720372915 False
1556831538.729090929 True
1556831548.740101099 False
1556831558.749771118 True
1556831568.760248899 False
1556831578.769803047 True
1556831588.780240059 False
1556831598.789807081 True
1556831608.800313950 False
1556831618.809897900 True
1556831628.821397066 False
1556831638.830910921 True
1556831648.840739012 False
1556831658.851283073 True
1556831668.860452890 False
1556831678.869558096 True
1556831688.682197094 False
1556831698.692199945 True
1556831708.704159021 False
1556831718.714590073 True
1556831728.724329948 False
1556831738.734153986 True
1556831748.743513107 False
1556831758.753472090 True
1556831768.764733076 False
1556831778.774557114 True
1556831788.784265995 False
1556831798.794403076 True
1556831808.804167986 False
1556831818.814857006 True
1556831828.823755026 False
1556831838.833101034 True
1556831848.842436075 False
1556831858.854340076 True
1556831868.866636038 False
1556831878.676006079 True
1556831888.686358929 False
1556831898.696063042 True
1556831908.705997944 False
1556831918.716892004 True
1556831928.727802992 False
1556831938.737720966 True
1556831948.748554945 False
1556831958.758081913 True
1556831968.768150091 False
1556831978.777698994 True
1556831988.788048029 False
1556831998.797661066 True
1556832008.808062077 False
1556832018.819897890 True
1556832028.830586910 False
1556832038.840599060 True
1556832048.849814892 False
1556832058.859137058 True
1556832068.869059086 False
1556832078.678220987 True
1556832088.687122107 False
1556832098.696611881 True
1556832108.706460953 False
1556832118.715270042 True
1556832128.724723101 False
1556832138.734308958 True
1556832148.744642019 False
1556832158.756612062 True
1556832168.765508890 False
1556832178.774374962 True
1556832188.784022093 False
1556832198.794966936 True
1556832208.805464029 False
1556832218.815774918 True
1556832228.825433969 False
1556832238.834470034 True
1556832248.845103979 False
1556832258.855959892 True
1556832268.865789890 False
1556832278.675419092 True
1556832288.684868097 False
1556832298.695820093 True
1556832308.707501888 False
1556832318.716753006 True
1556832328.726221085 False
1556832338.735512972 True
1556832348.744714022 False
1556832358.756532907 True
1556832368.768120050 False
1556832378.777966976 True
1556832388.787091017 False
1556832398.795099020 True
1556832408.808711052 False
1556832418.820281029 True
1556832428.830327988 False
1556832438.839561939 True
1556832448.848934889 False
1556832458.861396074 True
1556832468.873388052 False
1556832478.682085037 True
1556832488.690677881 False
1556832498.699527979 True
1556832508.715151072 False
1556832518.723737001 True
1556832528.732414007 False
1556832538.741534948 True
1556832548.752351999 False
1556832558.761629105 True
1556832568.772347927 False
1556832578.781541109 True
1556832588.790575981 False
1556832598.800079107 True
1556832608.809899092 False
1556832618.819485903 True
1556832628.833173990 False
1556832638.841440916 True
1556832648.852296114 False
1556832658.861762047 True
1556832668.873147964 False
1556832678.684104919 True
1556832688.694302082 False
1556832698.705549955 True
1556832708.715058088 False
1556832718.726561069 True
1556832728.735893011 False
1556832738.745727062 True
1556832748.755367041 False
1556832758.764991045 True
1556832768.776037931 False
1556832778.786886930 True
1556832788.798047066 False
1556832798.807746887 True
1556832808.818298101 False
1556832818.826994896 True
1556832828.839835882 False
1556832838.850198984 True
1556832848.859405994 False
1556832858.868531942 True
1556832868.677362919 False
1556832878.688779116 True
1556832888.698652029 False
1556832898.709532976 True
1556832908.718420982 False
1556832918.727844000 True
1556832928.740039110 False
1556832938.751293898 True
1556832948.760648966 False
1556832958.769912958 True
1556832968.778776884 False
1556832978.787589073 True
1556832988.798971891 False
1556832998.809449911 True
1556833008.818866014 False
1556833018.828347921 True
1556833028.838423967 False
1556833038.852004051 True
1556833048.862409115 False
1556833058.872514963 True
1556833068.680814028 False
1556833078.690074921 True
1556833088.701344967 False
1556833098.714457035 True
1556833108.725233078 False
1556833118.734235048 True
1556833128.744044065 False
1556833138.756720066 True
1556833148.768198967 False
1556833158.776778936 True
1556833168.786592960 False
1556833178.796662092 True
1556833188.807267904 False
1556833198.816143036 True
1556833208.825795889 False
1556833218.835516930 True
1556833228.844425917 False
1556833238.854681015 True
1556833248.864037037 False
1556833258.675384998 True
1556833268.684962034 False
1556833278.695272923 True
1556833288.706242085 False
1556833298.715637922 True
1556833308.725596905 False
1556833318.734322071 True
1556833328.743901968 False
1556833338.754234076 True
1556833348.764420033 False
1556833358.773720026 True
1556833368.782593966 False
1556833378.794109106 True
1556833388.804975986 False
1556833398.814654112 True
1556833408.823358059 False
1556833418.832855940 True
1556833428.842381954 False
1556833438.853805065 True
1556833448.862837076 False
1556833458.871665955 True
1556833468.683969021 False
1556833478.692961931 True
1556833488.705348015 False
1556833498.714272976 True
1556833508.722996950 False
1556833518.735281944 True
1556833528.746293068 False
1556833538.756701946 True
1556833548.765743017 False
1556833558.774748087 True
1556833568.784208059 False
1556833578.793633938 True
1556833588.804702044 False
1556833598.814608097 True
1556833608.824121952 False
1556833618.833682060 True
1556833628.843780994 False
1556833638.856345892 True
1556833648.865470886 False
1556833658.674403906 True
1556833668.683557034 False
1556833678.694356918 True
1556833688.707118988 False
1556833698.716623068 True
1556833708.725730896 False
1556833718.734247923 True
1556833728.746058941 False
1556833738.758491039 True
1556833748.767179012 False
1556833758.775926113 True
1556833768.785192966 False
1556833778.794404030 True
1556833788.806246042 False
1556833798.816467047 True
1556833808.827801943 False
1556833818.837208986 True
1556833828.846129894 False
1556833838.858628988 True
1556833848.867894888 False
1556833858.677495003 True
1556833868.686503887 False
1556833878.695904970 True
1556833888.709283113 False
1556833898.718355894 True
1556833908.727341890 False
1556833918.736553907 True
1556833928.745513916 False
1556833938.756130934 True
1556833948.767138958 False
1556833958.777216911 True
1556833968.788598061 False
1556833978.797949076 True
1556833988.808583021 False
1556833998.818963051 True
1556834008.828234911 False
1556834018.838280916 True
1556834028.848465919 False
1556834038.858110905 True
1556834048.868864059 False
1556834058.679081917 True
1556834068.689419031 False
1556834078.699537992 True
1556834088.708385944 False
1556834098.718188047 True
1556834108.728507042 False
1556834118.739454031 True
1556834128.751910925 False
1556834138.760596037 True
1556834148.772048950 False
1556834158.783240080 True
1556834168.792464972 False
1556834178.801912069 True
1556834188.810390949 False
1556834198.819822073 True
1556834208.830944061 False
1556834218.841022015 True
1556834228.852766991 False
1556834238.862368107 True
1556834248.871085882 False
1556834258.682346106 True
1556834268.692166090 False
1556834278.704065084 True
1556834288.714221001 False
1556834298.724075079 True
1556834308.735358953 False
1556834318.745523930 True
1556834328.755742073 False
1556834338.764081001 True
1556834348.773668051 False
1556834358.784440041 True
1556834368.794809103 False
1556834378.809053898 True
1556834388.818169117 False
1556834398.828536987 True
1556834408.837383986 False
1556834418.846668959 True
1556834428.856800079 False
1556834438.866466999 True
1556834448.676496983 False
1556834458.686686993 True
1556834468.697240114 False
1556834478.708487988 True
1556834488.718235970 False
1556834498.728203058 True
1556834508.738564014 False
1556834518.748334885 True
1556834528.759140968 False
1556834538.768424034 True
1556834548.778897047 False
1556834558.787045956 True
1556834568.796576023 False
1556834578.807454109 True
1556834588.820683956 False
1556834598.829600096 True
1556834608.839087009 False
1556834618.850100994 True
1556834628.860012054 False
1556834638.869913101 True
1556834648.680334091 False
1556834658.689877987 True
1556834668.701973915 False
1556834678.713826895 True
1556834688.724560022 False
1556834698.732994080 True
1556834708.742872953 False
1556834718.759418964 True
1556834728.770586967 False
1556834738.782753944 True
