Initial computer time: 1556726510.266501904
Initial NTP time:      1556726510.200167179
NTP offset:            1556726510.200167179
##DATA##
timeStamp secondary_task_status
1556726516.522008896 True
1556726521.526590109 False
1556726526.531263113 True
1556726531.535747051 False
1556726536.543550014 True
1556726541.548290968 False
1556726546.552031994 True
1556726551.555958986 False
1556726556.560343981 True
1556726561.564790964 False
1556726566.569528103 True
1556726571.582072973 False
1556726576.588563919 True
1556726581.593324900 False
1556726586.597383976 True
1556726591.601841927 False
1556726596.606713057 True
1556726601.611002922 False
1556726606.617080927 True
1556726611.622539043 False
1556726616.627736092 True
1556726621.631541014 False
1556726626.635701895 True
1556726631.640053034 False
1556726636.644618034 True
1556726641.648807049 False
1556726646.655821085 True
1556726651.660615921 False
1556726656.664803028 True
1556726661.669154882 False
1556726666.673733950 True
1556726671.678133965 False
1556726676.682605982 True
1556726681.687129021 False
1556726686.698331118 True
1556726691.702529907 False
1556726696.706897974 True
1556726701.711750984 False
1556726706.716290951 True
1556726711.521009922 False
1556726716.524988890 True
1556726721.538247108 False
1556726726.541843891 True
1556726731.545650005 False
1556726736.550065994 True
1556726741.555181980 False
1556726746.559778929 True
1556726751.564357996 False
1556726756.571624994 True
1556726761.584738016 False
1556726766.593199015 True
1556726771.597852945 False
1556726776.603456020 True
1556726781.609198093 False
1556726786.613753080 True
1556726791.617923021 False
1556726796.622253895 True
1556726801.627459049 False
1556726806.631484032 True
1556726811.635859966 False
1556726816.641042948 True
1556726821.648597002 False
1556726826.652767897 True
1556726831.657061100 False
1556726836.661025047 True
1556726841.665169001 False
1556726846.669385910 True
1556726851.673856020 False
1556726856.678062916 True
1556726861.685291052 False
1556726866.689182997 True
1556726871.693356037 False
1556726876.697089911 True
1556726881.701807976 False
1556726886.706727028 True
1556726891.710241079 False
1556726896.714932919 True
1556726901.526141882 False
1556726906.530702114 True
1556726911.534138918 False
1556726916.538417101 True
1556726921.542570114 False
1556726926.547127962 True
1556726931.552861929 False
1556726936.561774015 True
1556726941.566325903 False
1556726946.570925951 True
1556726951.575167894 False
1556726956.579392910 True
1556726961.584813118 False
1556726966.590171099 True
1556726971.597899914 False
1556726976.602574110 True
1556726981.607079029 False
1556726986.611675024 True
1556726991.615737915 False
1556726996.619980097 True
1556727001.624245882 False
1556727006.632338047 True
1556727011.641200066 False
1556727016.645169020 True
1556727021.649530888 False
1556727026.654387951 True
1556727031.658747911 False
1556727036.663430929 True
1556727041.669359922 False
1556727046.678086042 True
1556727051.684278965 False
1556727056.689702034 True
1556727061.693912983 False
1556727066.698606968 True
1556727071.702996016 False
1556727076.708606005 True
1556727081.715635061 False
1556727086.519761086 True
1556727091.525695086 False
1556727096.530190945 True
1556727101.534118891 False
1556727106.538580894 True
1556727111.546654940 False
1556727116.551001072 True
1556727121.555495977 False
