Initial computer time: 1556727582.473436117
Initial NTP time:      1556727582.399425983
NTP offset:            1556727582.399425983
##DATA##
timeStamp secondary_task_status
1556727588.150526047 True
1556727593.155750036 False
1556727598.160182953 True
1556727603.164856911 False
1556727608.169089079 True
1556727613.173163891 False
1556727618.177464008 True
1556727623.181823015 False
1556727628.186717987 True
1556727633.191405058 False
1556727638.196194887 True
1556727643.200753927 False
1556727648.204986095 True
