Initial computer time: 1556748473.674877882
Initial NTP time:      1556748473.622364044
NTP offset:            1556748473.622364044
##DATA##
timeStamp secondary_task_status
1556748514.405498028 True
1556748554.488884926 False
1556748594.539496899 True
1556748634.383028030 False
1556748674.428687096 True
1556748714.465646029 False
1556748754.503968954 True
1556748794.346014023 False
1556748834.387563944 True
1556748874.424556017 False
1556748914.467041969 True
1556748954.508924961 False
1556748994.345603943 True
1556749034.386620998 False
1556749074.429583073 True
1556749114.468424082 False
1556749154.508795977 True
1556749194.346523046 False
1556749234.387514114 True
1556749274.428550959 False
1556749314.467782021 True
1556749354.508826017 False
1556749394.351238012 True
1556749434.389991045 False
1556749474.430757046 True
