Initial computer time: 1556727859.230051994
Initial NTP time:      1556727859.159337044
NTP offset:            1556727859.159337044
##DATA##
timeStamp secondary_task_status
1556727864.665173054 True
1556727869.669596910 False
1556727874.673419952 True
1556727879.677426100 False
1556727884.681781054 True
1556727889.686296940 False
1556727894.692600965 True
1556727899.698179960 False
1556727904.703969955 True
1556727909.708447933 False
1556727914.713146925 True
1556727919.717067957 False
1556727924.721368074 True
1556727929.725392103 False
1556727934.730510950 True
1556727939.737262011 False
1556727944.743597031 True
1556727949.748372078 False
1556727954.752896070 True
1556727959.756684065 False
1556727964.761816025 True
1556727969.766822100 False
1556727974.772597075 True
1556727979.779361010 False
1556727984.783961058 True
1556727989.787555933 False
1556727994.791575909 True
1556727999.795975924 False
1556728004.800337076 True
1556728009.805493116 False
1556728014.809883118 True
1556728019.818030119 False
1556728024.822319031 True
1556728029.826261997 False
1556728034.830157042 True
1556728039.834327936 False
1556728044.838376999 True
1556728049.843750954 False
1556728054.847702980 True
1556728059.851824045 False
1556728064.855734110 True
1556728069.660172939 False
1556728074.664134026 True
1556728079.667993069 False
1556728084.671658039 True
1556728089.676523924 False
1556728094.681296110 True
1556728099.687375069 False
1556728104.692116022 True
1556728109.696619987 False
1556728114.700608015 True
1556728119.705419064 False
1556728124.709948063 True
1556728129.714715958 False
1556728134.720535994 True
1556728139.741717100 False
1556728144.745795965 True
1556728149.750737906 False
1556728154.756222963 True
1556728159.761332035 False
1556728164.768229961 True
1556728169.778171062 False
1556728174.782447100 True
1556728179.786767960 False
1556728184.792602062 True
1556728189.797210932 False
1556728194.801095009 True
1556728199.806571007 False
1556728204.811006069 True
1556728209.814394951 False
1556728214.818627119 True
1556728219.822999001 False
1556728224.827024937 True
1556728229.831548929 False
1556728234.835575104 True
1556728239.842784882 False
1556728244.847219944 True
1556728249.850984097 False
1556728254.854996920 True
1556728259.859164953 False
1556728264.663983107 True
1556728269.667723894 False
1556728274.673124075 True
1556728279.678642988 False
1556728284.683466911 True
1556728289.689138889 False
1556728294.693248987 True
1556728299.697110891 False
1556728304.701679945 True
1556728309.706181049 False
1556728314.710517883 True
1556728319.714831114 False
1556728324.720205069 True
1556728329.725155115 False
1556728334.729087114 True
1556728339.733031988 False
1556728344.737813950 True
1556728349.741194963 False
1556728354.746169090 True
1556728359.754419088 False
1556728364.758889914 True
1556728369.762213945 False
1556728374.766340017 True
1556728379.771173954 False
1556728384.775769949 True
1556728389.780101061 False
1556728394.785954952 True
1556728399.790097952 False
1556728404.795427084 True
1556728409.799808979 False
1556728414.804538965 True
1556728419.808763027 False
1556728424.813101053 True
1556728429.818726063 False
1556728434.823329926 True
1556728439.827735901 False
1556728444.833244085 True
1556728449.838037014 False
1556728454.842268944 True
1556728459.846731901 False
1556728464.851398945 True
1556728469.856632948 False
1556728474.661020994 True
1556728479.667542934 False
1556728484.678472996 True
1556728489.682068110 False
1556728494.686820030 True
1556728499.691029072 False
1556728504.695544958 True
1556728509.699619055 False
1556728514.704437017 True
1556728519.708106995 False
1556728524.711513042 True
1556728529.715878963 False
1556728534.720042944 True
1556728539.724556923 False
1556728544.729706049 True
1556728549.734529018 False
1556728554.738694906 True
1556728559.743217945 False
1556728564.748581886 True
1556728569.753776073 False
1556728574.758023977 True
1556728579.762451887 False
1556728584.767199039 True
1556728589.772641897 False
1556728594.776606083 True
1556728599.782156944 False
1556728604.786487103 True
1556728609.790585041 False
1556728614.794564962 True
1556728619.798309088 False
1556728624.803505898 True
1556728629.808945894 False
1556728634.813116074 True
1556728639.817282915 False
1556728644.822745085 True
1556728649.827759981 False
1556728654.832194090 True
