Initial computer time: 1556835153.652615070
Initial NTP time:      1556835153.595064163
NTP offset:            1556835153.595064163
##DATA##
timeStamp secondary_task_status
1556835184.470545053 True
1556835214.502250910 False
1556835244.530981064 True
1556835274.563946962 False
1556835304.591208935 True
1556835334.624214888 False
1556835364.451483965 True
1556835394.483628988 False
1556835424.513494015 True
1556835454.542959929 False
1556835484.576495886 True
1556835514.604865074 False
1556835544.436760902 True
1556835574.465778112 False
1556835604.496225119 True
1556835634.528408051 False
1556835664.556039095 True
1556835694.587922096 False
1556835724.617291927 True
1556835754.449814081 False
1556835784.484657049 True
1556835814.513242006 False
1556835844.550080061 True
1556835874.579404116 False
1556835904.607965946 True
1556835934.441229105 False
1556835964.470468998 True
