Initial computer time: 1556739141.613224030
Initial NTP time:      1556739141.552630901
NTP offset:            1556739141.552630901
##DATA##
timeStamp secondary_task_status
1556739176.929800987 True
1556739206.958623886 False
1556739236.988250971 True
1556739267.020402908 False
1556739297.048551083 True
1556739327.081083059 False
1556739356.909815073 True
1556739386.939522028 False
1556739416.969501972 True
1556739447.002281904 False
1556739477.030208111 True
1556739507.063050032 False
1556739537.093519926 True
1556739566.921412945 False
1556739596.954689980 True
1556739626.981447935 False
1556739657.015753031 True
1556739687.044262886 False
1556739717.075242996 True
1556739746.906619072 False
1556739776.934508085 True
1556739806.966449022 False
1556739836.996701956 True
1556739867.027849913 False
1556739897.059262991 True
1556739927.088613033 False
1556739956.920145988 True
1556739986.951905966 False
1556740016.982794046 True
1556740047.012301922 False
1556740077.044684887 True
